region,year,sample_version,sample_strategy,n_trees,features,accuracy,f1_weighted,f1_macro,num_features
ICR,2016,4,scaled,50,top_N,0.9263803680981596,0.9249872532509416,0.9223165413723416,70
ICR,2019,4,scaled,50,top_N,0.9213709677419356,0.9204096968689424,0.9142686773116466,70
ICR,2022,4,scaled,50,top_N,0.910828025477707,0.909355832669724,0.899943044685329,70
HIM,1995,4,scaled,50,all,0.8878048780487805,0.8841914683910683,0.8679438479390256,119
HIM,1998,4,scaled,50,all,0.9296407185628742,0.9287925532030012,0.9210050279386112,119
HIM,2001,4,scaled,50,all,0.9174454828660435,0.917234817044397,0.915062973307195,119
HIM,2004,4,scaled,50,all,0.9590551181102362,0.9583408243009324,0.9352461986359992,119
HIM,2007,4,scaled,50,all,0.9399075500770416,0.9387535663793068,0.9299939648857558,119
HIM,2010,4,scaled,50,all,0.9324116743471582,0.9317448610677266,0.9268250674492412,119
HIM,2013,4,scaled,50,all,0.9193798449612404,0.9187772289567196,0.927405351805368,119
HIM,2016,4,scaled,50,all,0.9123563218390804,0.9114345125215352,0.9095458175885832,119
HIM,2019,4,scaled,50,all,0.8952234206471494,0.8938456261966112,0.8943936318985215,119
HIM,2022,4,scaled,50,all,0.9052969502407704,0.9029399116289872,0.8937164230105407,119
IGP,1995,5,scaled,50,all,0.930171277997365,0.92747952167543,0.8925305894359824,119
IGP,1998,5,scaled,50,all,0.9298701298701298,0.927234573358558,0.9007333838814782,119
IGP,2001,5,scaled,50,all,0.9180555555555556,0.9063300207121916,0.870289303162356,119
IGP,2004,5,scaled,50,all,0.940379403794038,0.935393732863796,0.8883484477877599,119
IGP,2007,5,scaled,50,all,0.9543147208121828,0.951207366762977,0.9173796855856432,119
IGP,2010,5,scaled,50,all,0.9535211267605632,0.9524775709184676,0.9403998555898032,119
IGP,2013,5,scaled,50,all,0.953764861294584,0.9522453215705888,0.9238956803171527,119
IGP,2016,5,scaled,50,all,0.9525641025641024,0.951315337520244,0.9289864054360112,119
IGP,2019,5,scaled,50,all,0.9567979669631512,0.9562078230129794,0.9436325863342392,119
IGP,2022,5,scaled,50,all,0.95703125,0.9569889366537946,0.9409600348808712,119
DES,1995,7,scaled,50,all,0.912751677852349,0.9130050881542549,0.9257104573612708,119
DES,1998,7,scaled,50,all,0.9400570884871552,0.9399061238740112,0.9457415241026818,119
DES,2001,7,scaled,50,all,0.9281818181818182,0.9276742924600604,0.9212465401827532,119
DES,2004,7,scaled,50,all,0.9409005628517824,0.9410669483784206,0.9492072481637857,119
DES,2007,7,scaled,50,all,0.9201127819548872,0.9203890822324926,0.918838374240746,119
DES,2010,7,scaled,50,all,0.944022770398482,0.9438857494245728,0.9494395891176032,119
DES,2013,7,scaled,50,all,0.9354536950420954,0.9346877061816764,0.9382262231353358,119
DES,2016,7,scaled,50,all,0.947318908748824,0.947201619267596,0.9572841082839452,119
DES,2019,7,scaled,50,all,0.9314516129032258,0.9310334627516016,0.946213991302678,119
DES,2022,7,scaled,50,all,0.9355432780847146,0.9353683545035116,0.9362560211403712,119
PEN,1995,5,scaled,50,all,0.8562300319488818,0.8462413060321845,0.7762081321600465,119
PEN,1998,5,scaled,50,all,0.8527375707992448,0.8387691157483017,0.7503297278943819,119
PEN,2001,5,scaled,50,all,0.8705128205128205,0.8559150092859628,0.758067317817247,119
PEN,2004,5,scaled,50,all,0.881578947368421,0.869543929740615,0.7901672703561202,119
PEN,2007,5,scaled,50,all,0.8735255570117956,0.8610794910306232,0.7916658333069775,119
PEN,2010,5,scaled,50,all,0.8597402597402597,0.8521803721130703,0.8005158750228683,119
PEN,2013,5,scaled,50,all,0.8796116504854369,0.8714335171031965,0.818438077887343,119
PEN,2016,5,scaled,50,all,0.8984867591424969,0.8918457843786683,0.8322229846933913,119
PEN,2019,5,scaled,50,all,0.8930581613508443,0.8918135825018824,0.8416159225872926,119
PEN,2022,5,scaled,50,all,0.8941398865784499,0.8919630791799844,0.8726793840702463,119
NEI,1995,5,scaled,50,all,0.8589285714285714,0.8552833546861228,0.7919275084220367,119
NEI,1998,5,scaled,50,all,0.8832684824902723,0.8784562914256063,0.8231490616670919,119
NEI,2001,5,scaled,50,all,0.8713768115942029,0.868782855161438,0.804892376744041,119
NEI,2004,5,scaled,50,all,0.9028571428571428,0.8995372455938576,0.8369143941017594,119
NEI,2007,5,scaled,50,all,0.8995901639344263,0.8980434492927007,0.8613087824862178,119
NEI,2010,5,scaled,50,all,0.8987341772151899,0.8954575742934275,0.8595924913526076,119
